Rolling In The Deep;Adele
Um Beijo;Luan Santana
Pra Você;Paula Fernandes
Just The Way You Are;Bruno Mars
Amar Não é Pecado;Luan Santana ft Adelaide
Last Friday Night (T.G.I.F.);Katy Perry
Firework;Katy Perry
We R Who We R;Ke$ha
Loca;Shakira ft Dizzee Rascal or El Cata
Química do Amor;Luan Santana & Ivete Sangalo
Hold It Against Me;Britney Spears
Party Rock Anthem;LMFAO ft Lauren Bennett & Goon Rock
Ai Se Eu Te Pego;Michel Teló
The Time (The Dirty Bit);The Black Eyed Peas
Like A G6;Far East Movement ft Cataracs & Dev
Judas;Lady Gaga
Just Can't Get Enough;The Black Eyed Peas
Não Precisa;Paula Fernandes ft Victor & Leo
Moves Like Jagger;Maroon 5 ft Christina Aguilera
Someone Like You;Adele
Talking To The Moon;Bruno Mars
On The Floor;Jennifer Lopez ft Pitbull
Adrenalina;Luan Santana
Acelera Aê (Noite do Bem);Ivete Sangalo
You And I;Lady Gaga
Lighters;Bad Meets Evil ft Bruno Mars
Balada;Gusttavo Lima
Only Girl (In The World);Rihanna
Abelha;João Bosco & Vinícius
As Lembranças Vão na Mala;Luan Santana
Born This Way;Lady Gaga
California King Bed;Rihanna
The Edge Of Glory;Lady Gaga
Chuva;João Bosco & Vinícius
Rabiosa;Shakira ft Pitbull
S&M;Rihanna
Meu Grito de Amor;Eduardo Costa & Paula Fernandes
A Gente Faz a Festa;Exaltasamba ft Mr. Catra
Juras de Amor;Bruno & Marrone
E.T. (remix);Katy Perry ft Kanye West
What's My Name?;Rihanna ft Drake
Água de Oceano;Victor & Leo
I Wanna Go;Britney Spears
Mentes Tão Bem;Zezé Di Camargo & Luciano
Somebody To Love;Justin Bieber
Não é Normal;NX Zero
Três Palavras;Maria Cecília & Rodolfo
Onde Você Estiver;NX Zero
Pra Você Lembrar;Restart
Till The World Ends;Britney Spears
Don't Wanna Go Home;Jason Derulo
U Smile;Justin Bieber
Um Minuto;Exaltasamba
Não Seria Justo;Exaltasamba
Never Say Never;Justin Bieber ft Jadem Smith
I'm Into You;Jennifer Lopez ft Lil Wayne
Eu Sei;Fresno
We Found Love;Rihanna ft Calvin Harris
Sem me Controlar;Marcos & Belutti
Desejo de Amar;Ivete Sangalo
Grenade;Bruno Mars
In The Dark;Dev
Chove Chove;Jorge & Mateus
Skyscraper;Demi Lovato
Amor de Alma;Victor & Leo
O Troco;Maria Cecília & Rodolfo ft Exaltasamba
Férias em Salvador;Fernando & Sorocaba
Volta Pro Meu Coração;João Carreiro & Capataz
Pega Eu;Fernando & Sorocaba
Céu Azul;Charlie Brown Jr.
Teus Segredos;Fernando & Sorocaba
Clichê;Sorriso Maroto
Give Me Everything;Pitbull ft Ne-Yo, AfroJack & Nayer
Angel;Akon
Quatro Estações;Hugo Pena & Gabriel
Vida ou Morte;CPM 22
Amiga, Amante e Namorada;Bruno & Marrone
Cheers (Drink To That);Rihanna
Raise Your Glass;Pink
Que Dá Vontade Dá;Guilherme & Santiago
Só Agora;Pitty
Don't Stop The Party;The Black Eyed Peas
Next To You;Chris Brown ft Justin Bieber
Romance;Humberto & Ronaldo
Sonhando;Bruno & Marrone
Without You;David Guetta ft Usher
Higher;Taio Cruz ft Kylie Minogue
F**k You (Forget You);Cee-Lo Green
Stereo Hearts;Gym Class Heroes
Ela é Total Flex;Alexandre Peixe
Best Thing I Never Had;Beyoncé
Água;Claudia Leitte
Tchubirabiru;Parangolé
Dança Kuduro;Daddy Kall ft Latino
Written In The Stars;Tinie Tempah ft Eric Turner
Seu Astral;Jorge & Mateus
Tá Tudo Ok;Zé Henrique & Gabriel
Dançando;Agridoce
You Make Me Feel...;Cobra Starship ft Sabi
Club Can't Handle Me;Flo Rida ft David Guetta
