Mas Que Nada;Jorge Ben
Sonhar Contigo;Adilson Ramos
Volta Por Cima;Noite Ilustrada
I Can't Stop Loving You;Ray Charles
Chove Chuva;Jorge Ben
Tudo de Mim;Altemar Dutra
Hava Nagila;Chubby Checker
Balanço Zona Sul;Tito Madi
Enigma;Nelson Gonçalves
Filme Triste;Trio Esperança
Splish Splash;Roberto Carlos
Amor Sincero;Silvinho
Tem Bobo Pra Tudo;Alcides Gerardi
O Passo do Elefantinho;Trio Esperança
Blame It On The Bossa Nova;Eydie Gormé
Afrikan Beat;Bert Kaempfert
Uirapuru;Nilo Amaro & Os Cantores de Ébano
Boogie do Bebê;Tony Campello
O Maior Amor;Silvinho
Na Cadência do Samba;Elizeth Cardoso
Roberta;Peppino Di Capri
The End Of The World;Skeeter Davis
I Will Follow Him (Chariot);Little Peggy March
O Morro Não Tem Vez;Jair Rodrigues
Paz do Meu Amor;Luiz Vieira
Sukiyaki;Kyu Sakamoto
Garota de Ipanema;Pery Ribeiro
Bolinha de Sabão;Sônia Delfino
Chariot;Lana Bittencourt
Baby Elephant's Walk;Lawrence Welk
Rio;Os Cariocas
Ave Maria dos Namorados;Cauby Peixoto
O Trovador de Toledo;Gilda Lopes
Se a Vida Fosse Um Sonho;Orlando Dias
A Hora do Amor;Gilda Lopes
Go Away Little Girl;Steve Lawrence
Amor Ingrato;Silvinho
Papa-Oom-Mow-Mow;Rivingtons
Não Diga Nada;Joelma
O Prisioneiro;Jorge Goulart
Serenata da Chuva;Carlos Nobre
Baby Sittin' Boogie;Buzz Clifford
Deixa;Cyro Monteiro
Baby Sittin' Boogie;Ralf Bendix
Wipe Out;The Surfaris
Samba do Avião;Os Cariocas
Eu Que Amo Somente a Ti;José Ricardo
Caixinha de Segredo;Rômulo Alencar
Franqueza;Dalva de Oliveira
Love Me With All Your Heart;Ray Charles Singers
E O Bicho Não Deu;Emilinha Borba
Nos Braços da Saudade;Carlos Nobre
Doce Amargura;Moacyr Franco
Papai Walt Disney;Conjunto Farroupilha
Blue Velvet;Bobby Vinton
Ela é Carioca;Os Cariocas
Pergunte ao Coração;Jorge Goulart
Hey Paula;Paul & Paula
O Último a Saber;Dircinha Batista
Sabor de Sal;Ed Wilson
Days Of Wine And Roses;Henry Mancini
Resto de Saudade;Carlos Nobre
Our Day Will Come;Ruby & The Romantics
Samba em Prelúdio;Vinicius de Moraes & Odete Lara
Foi Assim;Jamelão
Volta Pra Casa;Noite Ilustrada
Saudade Em Cada Adeus;Carlos Nobre
Tem Bobo Pra Tudo;Isaura Garcia
A Lua é Camarada;Angela Maria
Abraça-me;Anísio Silva
Canção do Fim;Moacyr Franco
Olha a Polícia;Nhá Barbina
Perdidamente Te Amarei;Joelma
All Alone Am I;Brenda Lee
Ave Maria dos Namorados;Anísio Silva
Bolinha de Sabão;Orlan Divo
It's My Party;Lesley Gore
Baby Elephant's Walk;Henry Mancini
Big Girls Don't Cry;Four Seasons
Gostoso é Sambar;Doris Monteiro
Cuando Calienta El Sol;Antonio Pietro
Aprendiz de Feiticeiro;Angela Maria
Sabe Deus;Carlos Alberto
Dona Maria Tereza;Juca Chaves
Let's Dance;Chris Montez
Madrugada;Dora Lopez
Samba de Uma Nota Só;Radamés Gnatalli
Só Danço Samba;Elza Soares
Foi Deus;Gilda Valença
Vigésimo Andar;Albert Pavão
The Guns Of Navarone;Joe Reisman
Marcha da Condução;José Messias
Al Di La;Emilio Pericoli
Gina;Johnny Mathis
Dancin' Party;Chubby Checker
Para Sempre Adorar;Paulo Marques
Metade Homem;Valter Levita
Fascination;Leny Eversong
Esta Noite Eu Queria;Silvinho
Boneca de Doce;Paulo Ricardo
