Hey Jude;Beatles
Viola Enluarada;Marcos Valle & Milton Nascimento
Baby;Gal Costa & Caetano Veloso
Sá Marina;Wilson Simonal
Love Is Blue;Paul Mauriat
Light My Fire;Jose Feliciano
Se Você Pensa;Roberto Carlos
MacArthur Park;Richard Harris
Pata Pata;Miriam Makeba
Tenho Um Amor Melhor Que o Seu;Antonio Marcos
Última Canção;Paulo Sergio
Sou Louca Por Você;Elizabeth
San Francisco (Be Sure To Wear Flowers In Your Hair);Scott McKenzie
Mrs. Robinson;Simon & Garfunkel
A Chuva Que Cai;Os Caçulas
Pra Nunca Mais Chorar;Vanusa
The Rain, The Park And Other Things;Cowsills
Do You Want To Dance;Johnny Rivers
Só o Ôme;Noriel Vilela
Segura Esse Samba Ogunhé;Osvaldo Nunes
Dio Come Ti Amo;Gigliola Cinquetti
Pra Não Dizer Que Não Falei das Flores (Caminhando);Geraldo Vandré
I Love You;People
La Dernière Valse;Mirelle Mathieu
Minha Primeira Desilusão;Silvinha
Summer Rain;Johnny Rivers
Hello Goodbye;Beatles
The Fool On The Hill;Sergio Mendes & Brasil '66
Divino Maravilhoso;Gal Costa
Playboy;Silvinha
(Theme From) Valley Of The Dolls;Dionne Warwick
Honey;Bobby Goldsboro
Little Green Apples;O.C. Smith
As Canções Que Você Fez Pra Mim;Roberto Carlos
Hurdy Gurdy Man;Donovan
Mony Mony;Tommy James & The Shondells
Angel Of The Morning;Merrilee Rush & The Turnabouts
Andança;Beth Carvalho & Golden Boys
Judy In Disguise (With Glasses);John Fred & His Playboy Band
Free Again;Barbra Streisand
Aranjuez Mon Amour;Lafayette
I Say A Little Prayer;Aretha Franklin
Ciúme de Você;Roberto Carlos
Stormy;Classics IV
Never My Love;The Association
The Ballad Of Bonnie & Clyde;Georgie Fame
Le Bruit Des Vagues;Romuald
The Good, The Bad & The Ugly;Hugo Montenegro
Alvorada no Morro;Clara Nunes
(Sittin' On) The Dock Of The Bay;Otis Redding
Helena, Helena, Helena;Taiguara
Simon Says;1910 Fruitgum Co.
A Pobreza;Leno
Soy Loco Por Ti America;Caetano Veloso
O Milionário;Os Incríveis
Modinha;Taiguara
Parabéns, Querida;Robert Livi
Lonely;The Lovin' Spoonful
Cry Like A Baby;The Box Tops
Quero Lhe Dizer Cantando;Agnaldo Rayol
Sabiá;Cynara & Cybele
Superbacana;Caetano Veloso
São São Paulo;Tom Zé
Carolina;Chico Buarque
Gimme Little Sign;Brenton Wood
Você Passa e Eu Acho Graça;Clara Nunes
2001;Os Mutantes
Eu Sou Terrível;Roberto Carlos
Neon Rainbow;The Box Tops
Massachusetts;Bee Gees
Cabide de Molambo;João da Baiana
Nem Vem Que Não Tem;Wilson Simonal
Eu Daria a Minha Vida;Martinha
Those Were The Days;Mary Hopkin
Jumpin' Jack Flash;The Rolling Stones
Daydream Believer;The Monkees
Silence Is Golden;The Tremeloes
Alvorada no Morro;Odete Amaral
Kid Games And Nursery Rhymes;Shirley and Alfred
The Last Waltz;Engelbert Humperdinck
Era Um Garoto Que Como Eu Amava os Beatles e os Rolling Stones;Os Incríveis
Dom Quixote;Os Mutantes
Revolution;The Beatles
Meu Primeiro Amor;José Ricardo
Me Deixa em Paz;Waldik Soriano
Samba do Criolo Doido;Cynara & Cybele
Pára, Pedro;José Mendes
Lapinha;Elis Regina
Aquela Rosa;Eliana Pittman
Amor Desesperado;Orlando Dias
Perdoa-me;Orlando Dias
Yummy Yummy Yummy;Ohio Express
It Must Be Him;Vicki Carr
Anjo Triste;Sergio Reis
Pressentimento;Marilia Medalha
Casa de Bamba;Martinho da Vila
To Sir With Love;Lulu
Green Tambourine;The Lemon Pipers
Ela Desatinou;MPB-4
Silêncio;Joelma
