Garota Nacional;Skank
Change The World;Eric Clapton
Estou Apaixonado (Estoy Enamorado);João Paulo & Daniel
Macarena (bayside boys mix);Los Del Rio
One Sweet Day;Mariah Carey & Boyz II Men
Sem Medo de Ser Feliz;Zezé Di Camargo & Luciano
Recado a Minha Amada;Katinguelê
You Learn;Alanis Morissette
À Primeira Vista;Daniela Mercury
Eu Juro (I Swear);Leandro & Leonardo
Killing Me Softly;Fugees
Jesus To A Child;George Michael
One Of Us;Joan Osborne
Indiferença;Zezé Di Camargo & Luciano
É o Tchan (Pot-Pourri);Gera Samba
Wonderwall;Oasis
Beleza Rara;Banda Eva
Missing;Everything But The Girl
Because You Loved Me;Celine Dion
Dança da Cordinha;É o Tchan
Vai Sacudir, Vai Abalar;Cheiro de Amor
Minha Estrela Perdida;Gian & Giovani
Doce Mistério;Leandro & Leonardo
Felicidade Que Saudade de Você;Zezé Di Camargo & Luciano
Teu Charme;Os Morenos
Não Vá Ainda;Zélia Duncan
Pinga;Pato Fu
A Namorada;Carlinhos Brown
S.O.S. Brasil;Cidade Negra
A Dança do Bumbum;É o Tchan
How Deep Is Your Love;Take That
La Bella Luna;Os Paralamas do Sucesso
Na Rua, Na Chuva, Na Fazenda;Kid Abelha
Tic, Tic Tac;Carrapicho
Exhale (Shoop Shoop);Whitney Houston
Always Be My Baby;Mariah Carey
Estoy Enamorado;Donato & Estefano
Tô Pensando Nela;Gian & Giovani
You're Makin' Me High;Toni Braxton
Me Dê Uma Chance;Cleiton & Camargo
No Compasso do Criador;Katinguelê
I Love You Always Forever;Donna Lewis
Free As A Bird;Beatles
Follow You Down;Gin Blossoms
Bom Bocado;Art Popular
Theme From Mission: Impossible;Adam Clayton & Larry Mullen
Chora, Viola;Rionegro & Solimões
Com Qual Carícia;João Paulo & Daniel
Nobody Knows;The Tony Rich Project
Children;Robert Miles
Name;Goo Goo Dolls
Água Mineral;Timbalada
Tha Crossroads;Bone Thugs-N-Harmony
Ironic;Alanis Morissette
O Samba Não Tem Fronteiras;Só Pra Contrariar
Sittin' Up My Room;Brandy
A Long December;Counting Crows
Soul de Verão (Fame);Sandra de Sá
Brasil é o País do Suingue;Fernanda Abreu
Florentina;Tiririca
Teu Cafuné;Maurício Mattar
Tão Seu;Skank
Eu Te Amo, Te Amo, Te Amo;Roberta Miranda
Da Bomb;Inner Circle
É Uma Partida de Futebol;Skank
December;Collective Soul
Papel de Chiclete;Gian & Giovani
Devagar, Devagarinho;Martinho da Vila
Sozinho;Raça Negra
Miss Sarajevo;U2 & Luciano Pavarotti
La Forza Della Vita;Renato Russo
The Woman In Me;Shania Twain
How Do U Want It;2Pac (featuring KC & JoJo)
Vermelho;Márcia Freire
À Primeira Vista;Chico César
It's All Come Back To Me Now;Celine Dion
Vem Ser Feliz;Ricardo Chaves
Mama Africa;Chico César
Templo;Renata Arruda
Coração Gelado;José Augusto
Ibiza Dance;Roupa Nova
No Diggitty;BLACKstreet featuring Dr. Dre
Estoy Aqui;Shakira
Coração Sertanejo;Chitãozinho & Xororó
Head Over Feet;Alanis Morissette
Don't Look Back In Anger;Oasis
Leva;Placa Luminosa
Achy Break Heart;Billy Ray Cyrus
Firmamento;Cidade Negra
Where Do You Go;No Mercy
Lourinha Bombril;Os Paralamas do Sucesso
Na Boquinha da Garrafa;Companhia do Pagode
Bailão de Peão;Chitãozinho & Xororó
Loungin;LL Cool J
A Feira;O Rappa (Warner)
Breakfast At Tiffany's;Deep Blue Something
Preciso de Você;Netinho
Words;Boyzone
Nas Ondas do Partido;Fundo de Quintal
Tanajura;Negritude Jr.
