Trem das Onze;Demônios da Garoa
O Calhambeque;Roberto Carlos
Amore Scusami;John Foster
Sentimental Demais;Altemar Dutra
Ma Vie;Alain Barrière
A Hard Day's Night;Beatles
O Trovador;Altemar Dutra
O Neguinho e a Senhorita;Noite Ilustrada
Shame And Scandal In The Family;Shaw Elliott
Arrastão;Elis Regina
The House Of The Rising Sun;The Animals
Sabor A Mi;Eydie Gormé & Trio Los Panchos
Festa do Bolinha;Trio Esperança
Nunca Mais Brigarei Contigo;Roberto Muller
Não Quero Ver Você Triste;Roberto Carlos
I Feel Fine;Beatles
Querida;Jerry Adriani
Mamãe Eu Te Darei Algo;Manuela
Carcará;Maria Bethânia
Professor Apaixonado;Nilton Cesar
From Russia With Love;Matt Monro
Eight Days A Week;Beatles
Se Mi Vuoi Lasciare;Michele
Preste Atenção;Wanderley Cardoso
Perfidia;Trini Lopez
Pau de Arara;Ary Toledo
Downtown;Petula Clark
Menina Linda;Renato & Seus Blue Caps
Red Roses For A Blue Lady;Bert Kaempfert
Na Onda do Berimbau;Ed Lincoln
Prelude and The Sound Of Music;Julie Andrews
In Ginocchio Da Te;Gianni Morandi
Feche os Olhos;Renato & Seus Blue Caps
Falhaste Coração;Angela Maria
Michael;Trini Lopez
A Casa do Sol Nascente;Agnaldo Timóteo
A Garota do Baile;Roberto Carlos
Joga a Chave;Jorge Goulart
Iracema;Demônios da Garoa
Mr. Tambourine Man;The Byrds
O Escândalo;Renato & Seus Blue Caps
Pensando Nela;Golden Boys
Il Mondo;Jimmy Fontana
Charade;Henry Mancini
Não Me Esquecerás;Carlos Alberto
My Boy Lollipop;Millie Small
Help!;The Beatles
Tchin Tchin;Richard Anthony
Izabelle;Charles Aznavour
A Casa de Irene;Nico Fidenco
Festa de Arromba;Erasmo Carlos
Menino das Laranjas;Elis Regina
Amor Perdido;Carlos Alberto
Meu Bem Lollipop;Wanderléa
Acender as Velas;Nara leão
Lobo Mau;Roberto Carlos
Mulata Yê-Yê-Yê;Emilinha Borba
Gatinha Manhosa;Erasmo Carlos
Não é Papo Pra Mim;Roberto Carlos
Parei, Olhei;Roberto Carlos
O Carro do Papai;Ed Wilson
Minha Namorada;Os Cariocas
Das Rosas;Dalva de Oliveira
O Que é Que Eu Faço do Latim;Meire Pavão
Afinal Chegou;Os Vips
Se o Seu Amor Fosse Pra Mim;Trio Melodia
Primavera;Alaíde Costa
Mascarada;Zé Keti
Minha Fama de Mau;Erasmo Carlos
Copacabana é Amor;Fernando Pereira
História de Um Homem Mau;Roberto Carlos
This Diamond Ring;Gary Lewis & The Playboys
O Princípio e o Fim;Agnaldo Rayol
People;Barbara Streisand
A Praia;Agnaldo Rayol
Preste Atenção;Giane
Minhas Madrugadas;Elizeth Cardoso
Que C'est Triste Venice;Charles Aznavour
Alguém na Multidão;Golden Boys
Gerônimo;Os Incríveis
Rock do Mendigo;Moacyr Franco
Zorba, The Greek;Dalida
Deixa Isso Pra Lá;Jair Rodrigues
Primavera;Pery Ribeiro
Pedro Pedreiro;Chico Buarque
Opinião;Nara Leão
Quero Que Vá Tudo Pro Inferno;Roberto Carlos
Se Piangi, Se Ridi;Bobby Solo
Mulata Assanhada;Elza Soares
You Turn Me On;Ian Whicomb
Primavera;Claudette Soares
Que Será de Ti;Moacyr Franco
Ma Vie;Lana Bittencourt
Io Che Non Vivo Senza Te;Pino Donaggio
Ébrio de Amor;Lindomar Castilho
Tchin Tchin;Tony Campello
Sinfonia da Mata;Orlando Dias
The Wanderer;Dion
Samba de Verão;Marcos Valle
Abraça-me Forte;Wanderley Cardoso
