Un-Break My Heart;Toni Braxton
Palpite;Vanessa Rangel 
Lovefool;Cardigans
Depois do Prazer;Só Pra Contrariar
2 Become 1;Spice Girls
Ralando o Tchan (A Dança do Ventre);É o Tchan
Men In Black;Will Smith
Toma Juízo;Zezé Di Camargo & Luciano
Vem Nhanha;Boquinha da Garrafa
Eu Busco Uma Estrela;Gian & Giovani
Don't Speak;No Doubt
Hard To Say I'm Sorry;AZ Yet featuring Peter Cetera
Conquista;Claudinho & Buchecha
Mundo dos Sonhos;Katinguelê
I Don't Want To;Toni Braxton
Something About The Way You Look Tonight;Elton John
2345 meia 78;Gabriel O Pensador  
Meu Coração Só Quer Chorar;Zezé Di Camargo & Luciano
Wannabe;Spice Girls
Milla;Netinho
MMMBop;Hanson
Barbie Girl;Aqua
Sentinela;Malícia
Nega Vá;É o Tchan
Candle In The Wind 1997;Elton John
How Do I Live;LeAnn Rimes
Cantare é d'Amore;Amedeo Minghi
Utopia;Art Popular
Minha Gioconda;Chrystian & Ralf/Agnaldo Rayol
Nobre Vagabundo;Daniela Mercury
Honey;Mariah Carey
Uh La La La;Alexia 
Bagulho no Bumba;Virgulóides
Loving Every Minute;Lighthouse Family
Please Don't Go;No Mercy
I Will Come To You;Hanson
Fly;Sugar Ray
Me Dê Uma Chance;Raça Negra
Foolish Games;Jewel
Engraçadinha;Katinguelê
Felicidade (Love Of My Life);Paulo Ricardo
Nossa Senhora;Chitãozinho & Xororó
Mineirinho;Só Pra Contrariar 
Fada;Fundo de Quintal
Peão Apaixonado;Rionegro & Solimões
All By Myself;Celine Dion
Per Amore;Zizi Possi 
Fim de Semana;Netinho
Cerveja;Leandro & Leonardo
Coral de Anjos;Sensação
É Minha Vida;Zezé Di Camargo & Luciano
Bitch;Meredith Brooks
Time To Say Goodbye;Sarah Brightman & Andrea Bocelli
I Want You;Savage Garden
Chance;Claudinho & Buchecha
Pipoca;Ara Ketu
Santeria;Sublime
How Could An Angel Break My Heart;Toni Braxton
Alone;Bee Gees
I Believe I Can Fly;R. Kelly
Dança da Vassoura;Molejo
You Were Meant For Me;Jewel
Quando a Gente Ama Demais;Zezé Di Camargo & Luciano
So Beautiful;Chris DeBurgh
Virtual Insanity;Jamiroquai
Number One;Alexia
More Than This;10,000 Maniacs
Impossível Acreditar Que Perdi Você;Fábio Jr.
Só Você;Fábio Jr.
Rapunzel;Daniela Mercury 
Where Have All The Cowboys Gone;Paula Cole
Todo Amor Que Houver Nessa Vida;Cássia Eller
Maracatu Atômico;Chico Science & Nação Zumbi
É Só Dizer O Preço;Chrystian & Ralf
Eterno Amanhecer;Exaltasamba
Say You'll Be Mine;Spice Girls
Can't Nobody Hold Me Down;Puff Daddy
Discotheque;U2
I Believe In You And Me;Whitney Houston
The Freshmen;The Verve Pipe
Don't Cry For Me Argentina;Madonna
Song 2;Blur
For You I Will;Monica
Fly Like An Eagle;Seal
Buribai;Bragadá
Vivendo Por Viver;Zezé Di Camargo & Luciano
Outra Chance;Cleiton & Camargo
Beija, Me Beija, Me Beija;Simone
Incancelabille;Laura Pausini
I'll Be Missing You;Puff Daddy & Faith Evans
Adoled;Planet Hemp
Pertinho de Você;Alô Som
Unicamente;Deborah Blando
Semi-Charmed Life;Third Eye Blind
Come Into My Life;Gala
Eu Tenho Pressa;Devotos do Ódio
A Little Bit Of Ecstasy;Jocelyn Enriquez
So Help Me Girl;Gary Barlow
Maria;Ricky Martin
Festa da Música;Gabriel O Pensador
