Detalhes;Roberto Carlos
Tarde em Itapoã;Toquinho, Vinicius & Marília Medalha
It's Too Late;Carole King
Você Abusou;Antonio Carlos & Jocafi
How Can You Mend A Broken Heart;Bee Gees
Have You Ever Seen The Rain;Creedence Clearwater Revival
Debaixo dos Caracóis dos Seus Cabelos;Roberto Carlos
Ê Baiana;Clara Nunes
Maggie May;Rod Stewart
Candida;Dawn
Never Can Say Goodbye;Jackson 5
Menina da Ladeira;João Só
 Como Dois e Dois;
Gal Costa
Cotidiano;Chico Buarque
Rose Garden;Lynn Anderson
You've Got A Friend;James Taylor
A Tonga da Mironga do Kabuletê;Toquinho, Vinicius & Monsueto
My Sweet Lord;George Harrison
Você;Tim Maia
Black Magic Woman;Santana
What's Going On;Marvin Gaye
If;Bread
Joy To The World;Three Dog Night
Festa Para Um Rei Negro;Jair Rodrigues
Me And Bobby McGee;Janis Joplin
Be My Baby;Andy Kim
Theme From Shaft;Isaac Hayes
Amada Amante;Roberto Carlos
O Cafona;Marcos Valle
No Matter What;Badfinger
Não Quero Dinheiro (Só Quero Amar);Tim Maia
Lonely Days;Bee Gees
Another Day;Paul McCartney
I Love You For All Seasons;Fuzz
Mother;John Lennon 
Casa no Campo;Elis Regina
She's A Lady;Tom Jones
(Where Do I Begin) Theme From Love Story;Francis Lai 
Com Mais de Trinta;Marcos Valle
De Noite na Cama;Doris Monteiro
Don't Pull Your Love;Hamilton, Joe Frank & Reynolds
Desacato;Antonio Carlos & Jocafi
Fire And Rain;James Taylor
It Don't Came Easy;Ringo Starr
Family Affair;Sly & The Family Stone
Capim Gordura;Ivon Curi
Knock Three Times;Dawn
Quem Mandou Você Errar;Claudia Barroso
16 Toneladas;Noriel Vilela
A Festa de Santos Reis;Tim Maia
Mudei de Idéia;Antonio Carlos & Jocafi
One Bad Apple;Osmonds
Balada #7 (Mané Garrincha);Moacyr Franco
Mas Que Doidice;Maria Creuza
Ovo de Codorna;Luiz Gonzaga
Impossível Acreditar Que Perdi Você;Marcio Greyck
Oh Me, Oh My;B.J. Thomas
Sanctus, Sanctus, Hallelujah;Barry Ryan
Gypsy Woman;Brian Hyland
Carta de Amor;Waldik Soriano
Amanda;Taiguara
Look Around (You'll Find Me There);Al Martino
Construção;Chico Buarque
Tengo Tengo (Mangueira, Minha Madrinha Querida);Jair Rodrigues
Bloco da Solidão;Altemar Dutra
Kokorono Niji;Os Incríveis
O Último Romântico;Agnaldo Timóteo
José;Nalva Aguiar
Boêmio Demodê;Cyro Aguiar
Oh Me, Oh My;Lulu
Deus Lhe Pague;Chico Buarque
It Don't Matter To Me;Bread
Superstar;Carpenters
Brown Sugar;The Rolling Stones
One Less Bell To Answer;The 5th Dimension
Eu Não Tenho Onde Morar;Ed Lincoln
Toast And Marmalade For Tea;Tin Tin
Montego Bay;Bobby Bloom
I Think I Love You;The Partridge Family
Não Existe Nada Além de Nós;Joelma
Como Dois e Dois;Roberto Carlos
Procurando Tu;Ivon Curi
Domingo de Solidão;Carmen Silva
Te Quero... Te Quero;Joelma
The Tears Of A Clown;Smokey Robinson & The Miracles
Adeus Solidão;Carmen Silva
Acapulco Gold;Mazon Dixon
O Fim;Carmen Silva
Pra Começo de Assunto;Elizeth Cardoso
De Tanto Amar;Claudette Soares
Ei, Meu Pai;Demétrius
Bloco da Solidão;Maysa
O Velho e o Novo;Agnaldo Rayol
Mr. Big Stuff;Jean Knight
Just My Imagination;The Temptations
E Lá Se Vão Meus Anéis;Márcia
All Right Now;Free
Ainda Queima a Esperança;Gilberto & Gilmar
We've Only Just Begun;Carpenters
Lola;The Kinks
