Datemi Un Martello;Rita Pavone
I Want To Hold Your Hand;Beatles
Rua Augusta;Ronnie Cord
O Ritmo da Chuva;Demetrius
Please Please Me;Beatles
She Loves You;Beatles
Dominique;Giane
Parei na Contramão;Roberto Carlos
Can't Buy Me Love;Beatles
Que Queres Tu de Mim;Altemar Dutra
Doce Amargura;Moacyr Franco
Bigorrilho;Jorge Veiga
Deixa Isso Pra Lá;Jair Rodrigues
Acorrentados;Agnaldo Rayol
Love Me Do;Beatles
É Proibido Fumar;Roberto Carlos
Hello, Dolly!;Louis Armstrong
Twist And Shout;Beatles
Una Lacrima Sul Viso;Bobby Solo
Love Me With All Your Heart;Ray Charles Singers
El Relicário;The Clevers
Everybody Loves Somebody;Dean Martin
Mulher Governanta;Silvinho
Tudo de Mim;Altemar Dutra
Escrivi Me;Rita Pavone
The Girl From Ipanema;Stan Getz & Astrud Gilberto
Do You Want To Know A Secret;Beatles
Sabe Deus;Carlos Alberto
Dominique;Souer Sourire
Pombinha Branca;Silvana
O Divórcio;Oslaim Galvão
Rancho da Praça XI;Dalva de Oliveira
Igual a Ti Não Há Ninguém;Rosemary
A Carta;Waldik Soriano
Beijo Gelado;José Augusto
Sul Cucuzzolo;Rita Pavone
O Menino das Laranjas;Elis Regina
America;Trini Lopez
Bicho do Mato;Jorge Ben
Olhando Para o Céu;Trio Esperança
De Joelhos;Carlos Alberto
Louie Louie;The Kingsmen
Cabeleira do Zezé;Jorge Goulart
Ai de Mim;Golden Boys
Leda;Adilson Ramos
Forget Him;Bobby Rydell
You Don't Own Me;Lesley Gore
If I Had A Hammer;Trini Lopez
Queria;Carlos José
La Bamba;Trini Lopez
Lado a Lado;Carlos Alberto
Canto o Fado;Olivinha Carvalho
Nanã;Wilson Simonal
Diz Que Fui Por Aí;Nara Leão
Andorinha;Hebe Camargo
Meu Bem;Agnaldo Rayol
O Calhambeque;Roberto Carlos
Inútil Paisagem;Tenório Jr.
Paz do Meu Amor;Hebe Camargo
Tristeza de Nós Dois;Claudette Soares
The Hully Gully;Chubby Checker
There! I've Said It Again;Bobby Vinton
Deep Purple;Nino Tempo & April Stevens
Luz Negra;Nara Leão
Deixa Pra Mim a Culpa;Agnaldo Rayol
Ó, Meu Senhor;Wilson Miranda
Esse Mundo é Meu;Sergio Ricardo
Capela do Amor;Wanderléa
A Perereca da Vizinha;Dercy Gonçalves
Quero Me Casar Contigo;Roberto Carlos
O Sol Nascerá;Nara Leão
Bossa Nova Baby;Elvis Presley
Diz Que Fui Por Aí;Elizeth Cardoso
Serenata da Chuva;Altemar Dutra
Berimbau;Quarteto em Cy
Somente Uma Saudade;José Ricardo
Consolação;Wilson Simonal
Me Apeguei Com Meu Santinho;Wanderléa
O Passo do Elefantinho;Trio Esperança
Telefone;Os Cariocas
Exército do Surf;Wanderléa
O Relógio (El Reloj);Adilson Ramos
Vou Morrer de Tanto Rir;Silvinho
Um Leão Está Solto nas Ruas;Roberto Carlos
Maria Elena;Los Indios Tabajaras
Canção da Serra;José Ricardo
Ansiedade;Carlos Alberto
Esta Noche Pago Yo;Lucho Gatica
My Boy Lollipop;Millie Small 
Uma Lágrima no Rosto;Tony Campello
Java;Al Hirt
Se Eu Morresse Amanhã;Waldik Soriano
Abraza-me;Bienvenido Granda
Juca do Brás;Leila Silva
Sugar Shack;Jimmy Gilmer & The Fireballs
If I Had A Hammer;Prini Lorenz
Meu Broto Só Pensa em Estudar;Albert Pavão
Mas Que Nada;Jorge Ben
Palavras, Só Palavras;Martha Mendonça
Obsessão;Sergio Odilon
