Amigo;Roberto Carlos
Sonhos;Peninha
You Light Up My Life;Debbie Boone
Flor de Lis;Djavan
I Just Want To Be Your Everything;Andy Gibb
Best Of My Love;Emotions
When I Need You;Leo Sayer
Menina dos Cabelos Longos;Agepê
Arrombou a Festa;Rita Lee
Romaria;Elis Regina
Maluco Beleza;Raul Seixas
I'm Your Boogie Man;KC & The Sunshine Band
Tonight's The Night (It's Gonna Be Alright);Rod Stewart
Hotel California;Eagles
Somos Todos Iguais Nesta Noite;Ivan Lins
Marcas do Que Se Foi;Márcio Lott
Falando Sério;Roberto Carlos
Star Wars/Cantina Band;Meco
You And Me;Alice Cooper
Zodiacs;Roberta Flack
Isn't She Lovely;Stevie Wonder
Nobody Does It Better;Carly Simon
Coleção;Cassiano
Sorte Tem Quem Acredita Nela;Fernando Mendes
Jura Secreta;Simone
You Make Me Feel Like Dancing;Leo Sayer 
My Dear;Manchester
Love Theme From "A Star Is Born" (Evergreen);Barbra Streisand
Easy;Commodores
Sir Duke;Stevie Wonder
Livin' Thing;Electric Light Orchestra
Gonna Fly Now (Theme From "Rocky");Bill Conti
I Never Cry;Alice Cooper
Keep It Comin' Love;KC & The Sunshine Band
O Dia Em Que a Terra Parou;Raul Seixas
Desencontro de Primavera;Hermes de Aquino
Dancing Queen;Abba
Começaria Tudo Outra Vez;Simone
Perdido na Noite;Agnaldo Timóteo
Saco de Feijão;Beth Carvalho
Baby I Love Your Way;Peter Frampton
Pombo Correio;Moraes Moreira
Tranquei a Vida;Ronnie Von
Don't Cry For Me Argentina;Julie Covington
You Don't Have To Be A Star;Marilyn McCoo & Billy Davis, Jr.
Cavalgada;Roberto Carlos
Tigresa;Gal Costa
Boogie Nights;Heatwave
Morte de Um Poeta;Alcione
Car Wash;Rose Royce
Dance And Shake Your Tambourine;Universal Robot Band
Eu Preciso Te Esquecer;Cláudia Telles
Lost Without Your Love;Bread
Fim de Tarde;Cláudia Telles
I Love You;Donna Summer
Pra Que Vou Recordar O Que Chorei;Carlos Dafé
I'm Lost;Barry Mann
Let's Be Young Tonight;Jermaine Jackson
Don't Stop;Fleetwood Mac
Swayin' To The Music;Johnny Rivers
Love So Right;Bee Gees
Ma Baker;Boney M
Sonhos de Um Palhaço;Antonio Marcos
Maria Fumaça;Banda Black Rio
C'est La Vie;Emerson, Lake & Palmer
Nêga;Emílio Santiago
Pensando Nela;Dom Beto
So Sad The Songs;Gladys Knight & The Pips
Dom de Iludir;Maria Creuza
Sorrow;Michael Sullivan
That's The Trouble;Grace Jones
Filho Único;Erasmo Carlos
Se Te Agarro Com Outro Te Mato;Sidney Magal
Um Caso Meu;Rosemary
Senhorita, Senhorita;Wando
Vai Levando;Miúcha & Tom Jobim
Um Jeito Estúpido de Te Amar;Maria Bethânia
Loco-Motivas;Rita Lee
Barra Pesada;Dicró
Conversation;Morris Albert
Bijuterias;João Bosco
Velho Demais;Placa Luminosa
Yes Sir, I Can Boogie;Baccara
You Are My Love;Liverpool Express
Young Hearts Run Free;Candi Staton
Lumiar;Beto Guedes
Piu;Ornella Vanoni
Flor Amorosa;Maria Martha
Cálix Bento;Milton Nascimento
I Remember Yesterday;Donna Summer
O Leãozinho;Caetano Veloso
Maria Solidária;Beto Guedes
Meu Sangue Ferve Por Você;Sidney Magal
Espere Por Mim, Morena;Gonzaguinha
Comportamento;Marcio Lott
Golden Years;David Bowie
Boi da Cara Branca;Helio Matheus
Basta um Dia;Clara Nunes
N.Y. You Got Me Dancing;Andrea True Collection
You Took My Breath Away;Kaplan Kaye
