Escreve Aí;Luan Santana
Suíte 14;Henrique & Diego Part. Mc Guime
Mudando De Assunto;Henrique & Juliano
10 Minutos Longe De Você;Victor & Leo Part. Henrique & Juliano
Agora (ahora);Bruno & Marrone
Sapequinha;Eduardo Costa
Aquele 1%;Marcos & Belutti Part. Wesley Safadão
Isso Cê Num Conta;Bruno & Marrone
Farra, Pinga E Foguete;Bruno & Barretto
Vai Vendo;Lucas Lucco
Bem Feito;Thaeme & Thiago
Hoje Eu Tô Terrível;Cristiano Araujo
Toca Um João Mineiro E Marciano;Jads & Jadson
O Defensor;Zezé Di Camargo & Luciano
Senha Do Celular;Henrique & Diego
Thinking Out Loud;Ed Sheeran
Os Anjos Cantam;Jorge & Mateus
Quando Deus Quer;Lucas Lucco
Que Sorte A Nossa;Matheus & Kauan
Você Mente;Ze Felipe
Um Degrau Na Escada;Leonardo & Eduardo Costa
Amiga Linda;João Bosco & Vinicius
Previsão Do Tempo;Fernando & Sorocaba
Poeira Da Lua;Marcos & Belutti
Presto Pouco;João Neto & Frederico
Cuida Bem Dela;Henrique & Juliano
Me Leva Pra Casa;João Bosco & Vinicius Part. Zezé Di Camargo & Luciano
Como Eu Chorei;Leonardo & Eduardo Costa
Nocaute;Jorge & Mateus
Love Me Like You Do;Ellie Goulding
Tempo De Amor;Victor & Leo
Chuva De Arroz;Luan Santana
É Claro Que Eu Tô;João Neto & Frederico
Se Quer Ir Então Vai;Munhoz & Mariano
Então Foge;Marcos & Belutti
Eu Ligo Pra Você;Ze Neto & Cristiano
O Que Acontece Na Balada;Thaeme & Thiago
Ela Sabe Ser Sexy;Bruninho & Davi
Sugar;Maroon 5
Rude;Magic!
Você E Eu;Zé Felipe
Uptown Funk!;Mark Ronson Part. Bruno Mars
Voce Não Me Conhece;Gusttavo Lima
I’m Not The Only One;Sam Smith
Bobeia Pra Ver;Fernando & Sorocaba
Fora De Área;Fred & Gustavo
Vem Cá, Moça;George Henrique & Rodrigo
Na Hora Da Raiva;Henrique & Juliano
Made In Roça;Loubet
Caminhonete Inteira;Conrado & Aleksandro
Deixa Ele Sofrer;Anitta
Ex-Apaixonado;Israel & Rodolffo
Que Mal Te Fiz Eu? (diz Me);Gusttavo Lima
1 Metro E 65;Sorriso Maroto
Seu Bombeiro;Munhoz & Mariano
Não Quero Mais;Mc Ludmilla Part. Belo
Barraqueira;Alexandre Pires
Amo Você;Jads & Jadson
Feinho;Edson & Vinicius
Tá Quente;Michel Telo
Fico Com Você;Bruninho & Davi
Te Amo;Zé Neto & Cristiano
Noite Fracassada;Jads & Jadson
Eu Quero É Rolo;Bruno & Barretto
Pegando Lágrimas;Paula Fernandes Part. Chitãozinho & Xororó
Imagina Com As Amigas;Bruninho & Davi
Chorando Mamado;Conrado & Aleksandro
Eu Não Merecia Isso;Luan Santana
Ritmo Perfeito;Anitta
99%;Fiduma & Jeca Part. Munhoz & Mariano
Sonho;Cleber & Cauan
Am I Wrong;Nico & Vinz
Mais Amor E Menos Saudade;Ricardo Barbosa
Blame;Calvin Harris Part. John Newman
Homem Chora Sim;Edy Britto & Samuel Part. Gusttavo Lima
See You Again;Wiz Khalifa Part. Charlie Puth
Hoje;Mc Ludmilla
Meu Violão E O Nosso Cachorro;Simone & Simaria
É Com Ela Que Eu Estou;Cristiano Araujo
All About That Bass;Meghan Trainor
Dia Dez;Fernando & Sorocaba
Solteiro Sim;Humberto & Ronaldo
Surpresa De Amor;Turma Do Pagode
No Meu Talento;Anitta
Flores Em Vida;Zeze Di Camargo & Luciano
Implorando Pra Trair;Michel Teló Part. Gusttavo Lima
Camarote;Wesley Safadão
Ponto Fraco;João Bosco & Vinicius
Lua De Mel;Sorriso Maroto
Lunático;Thiago & Graciano
Hey, Mundo!;Thiaguinho
Happy;Pharrell Williams
Posso Ser;Lexa
Bang!;Anitta
A Paz Desse Amor;Paula Fernandes
Blank Space;Taylor Swift
A Dama Da Noite;Fred & Gustavo
Recém-Abandonado;Carreiro & Capataz
Sentimento Louco;Marilia Mendonca
Cicatrizes;Kleo Dibah & Rafael Part. Gusttavo Lima
