Immortality;Celine Dion & Bee Gees (Sony)
Cada Volta é Um Recomeço;Zezé Di Camargo & Luciano (Sony)
Liberar Geral;Terra Samba (RGE)
Torn;Natalie Imbruglia (BMG)
Adia;Sarah McLachlan (BMG)
Truly Madly Deeply;Savage Garden (Sony)
You're Still The One;Shanie Twain (Universal)
Cachimbo da Paz;Gabriel O Pensador (Sony)
Mineirinho;Só Pra Contrariar (BMG)
My Heart Will Go On;Celine Dion (Sony)
Too Much;Spice Girls (Virgin)
Quando é Amor;Só Pra Contrariar (BMG)
É Preciso Saber Viver;Titãs (Warner)
Mal-Acostumada;Ara Ketu (Sony)
Inaraí;Katinguelê (Continental)
Inesquecível;Sandy & Junior (Universal)
Something About The Way You Look Tonight;Elton John (Universal)
Cartão Postal;Exaltasamba (EMI)
Quit Playing Games (With My Heart);Backstreet Boys (Virgin)
Vem Meu Amor;Banda Eva (Universal)
Deu Medo;Leandro & Leonardo (BMG)
Quero Te Encontrar;Claudinho & Buchecha (Universal)
Ela é Demais;Rick & Renner (Continental)
Amarelinha;Art Popular (EMI)
As Long As You Love Me;Backstreet Boys (Virgin)
Dois;Paulo Ricardo (Universal)
Arerê;Banda Eva (Universal)
Pra Não Pensar Em Você;Zezé Di Camargo & Luciano (Sony)
S.N.S. (Só no Sapatinho);Só no Sapatinho (Warner)
My All;Mariah Carey (Sony)
Mundo de Oz;Soweto (EMI)
Heloísa, Mexe a Cadeira;Vinny (Indie)
How Could An Angel Break My Heart;Toni Braxton (BMG)
Resposta;Skank (Sony)
Te Amo Cada Vez Mais;João Paulo & Daniel (Continental)
Show Me Love;Robyn (BMG)
Presente de Um Beija-Flor;Nativus (EMI)
Never Ever;All Saints (Universal)
Preciso Dar Um Tempo;Raça Negra (RGE)
A Nova Loira do Tchan;É O Tchan (Universal)
I Will Come To You;Hanson (Universal)
Pertinho;Katinguelê (Continental)
High;Lighthouse Family (Universal)
Janaína;Biquini Cavadão (BMG)
Sábado à Noite;Cidade Negra (Sony)
I Don't Want To Miss A Thing;Aerosmith (Sony)
Fácil;Jota Quest (Sony)
Era Uma Vez;Toquinho/Sandy & Junior (Universal)
Maçã do Amor;Soweto (EMI)
Vitrine;Latino (Sony)
Faixa Amarela;Zeca Pagodinho (Universal)
Aviãozinho;Cheiro de Amor (Universal)
Agenda Rabiscada;Cleiton & Camargo (EMI)
Quando Um Grande Amor Se Faz;Cleiton & Camargo (EMI)
Proibido Pra Mim;Charlie Brown Jr. (Virgin)
Desliga e Vem;Exaltasamba (EMI)
Say You Love Me;Simply Red (Warner)
Derê;Soweto (EMI)
Dança da Manivela;Asa de Águia (Sony)
Tá na Cara;Ara Ketu (Sony)
More Than This;10,000 Maniacs (Universal)
Fricote;Art Popular (EMI)
Jeito Sexy;Fat Family (EMI)
Be Alone No More;Another Level (BMG)
Somente o Sol;Deborah Blando (Virgin)
Antes Que Seja Tarde;Pato Fu (BMG)
Realidade Virtual;Cidade Negra (Sony)
Tô Dentro, Tô Fora;Os Morenos (Universal)
Dança da Sensual;Cheiro de Amor (Universal)
Puro Êxtase;Barão Vermelho (Warner)
The Boy Is Mine;Brandy & Monica (Warner)
Palpite;Vanessa Rangel (Virgin)
Swing de Rua;Patrulha do Samba (Paradoxx)
Viva Forever;Spice Girls (Virgin)
É O Tchan no Havaí;É O Tchan (Universal)
Um Sonhador;Leandro & Leonardo (BMG)
Vai Sacudir, Vai Abalar;Cheiro de Amor (Universal)
Con Te Partirò;Andrea Bocelli (Universal)
Vivo Por Ella;Andréa Bocelli & Sandy (Universal)
Pra Te Ter Aqui;Netinho (Universal)
Eu Busco Uma Estrela;Gian & Giovani (BMG)
Brincadeira de Criança;Molejo (BMG)
Frozen;Madonna (Warner)
Feliz Aniversário;Ronaldo & Os Barcelos (RDS)
Gimme Love;Alexia (Sony)
Peraê;Banda Beijo (Universal)
Lugar Nenhum;Netinho (Universal)
Cumade e Cumpade;Leandro & Leonardo (BMG)
Corazón Partio;Alejandro Sanz (Warner)
Declaração de Amor;Daniel (Continental)
Everybody (Backstreet's Back);Backstreet Boys (Virgin)
Carrinho de Mão;Terra Samba (RGE)
O Grande Amor de Minha Vida;Gian & Giovani (BMG)
Pé de Bode;Cezar & Paulinho (Continental)
(Dança do Xenhenhém) Forró do Xenhenhém;Zé Paulo (Atração)
How Bizarre;OMC (Universal)
Angel;Robbie Williams (EMI)
All My Life;K-Ci & JoJo (Universal)
O Beijo;Negritude Jr. (EMI)
Amor e Amizade;Exaltasamba (EMI)
