position;artist;music;gender;number_of_unique_words;number_of_chords;views;lyrics_link;cipher_link
1;santa sampa;vespas mandarinas;Rock and Roll;57;6;21946;https://www.letras.mus.br/vespas-mandarinas/santa-sampa/;http://www.cifraclub.com.br/vespas-mandarinas/santa-sampa/
2;sozinho;caetano veloso;MPB;82;17;4552585;https://www.letras.mus.br/caetano-veloso/41672/;http://www.cifraclub.com.br/caetano-veloso/sozinho/
