Muito Estranho (Cuida Bem de Mim);Dalto
Physical;Olivia Newton-John
Banho de Espuma;Rita Lee & Roberto de Carvalho
Leão Ferido;Biafra
Saúde;Rita Lee & Roberto de Carvalho
Festa do Interior;Gal Costa
Tropicana (Morena Tropicana);Alceu Valença
Let's Groove;Earth, Wind & Fire
Bate Coração;Elba Ramalho
O Que é O Que é?;Gonzaguinha 
Asa Morena;Zizi Possi
Ebony And Ivory;Paul McCartney & Stevie Wonder
Vem Fazer Glu-Glu;Sergio Malandro 
Você Não Soube Me Amar;Blitz
Eye In The Sky;Alan Parsons Project 
Reluz;Marcos Sabino
Fuscão Preto;Almir Rogério
Blue Eyes;Elton John
Samurai;Djavan
Charme do Mundo;Marina
Portela na Avenida;Clara Nunes
Hard To Say I'm Sorry;Chicago
Eye Of The Tiger;Survivor
Ribbon In The Sky;Stevie Wonder
Gloria;Laura Branigan
Faltando um Pedaço;Djavan
Titles (from "Chariots Of Fire");Vangelis
Como Dois Animais;Alceu Valença
Virada;Beth Carvalho
Eu Sou Boy;Magazine
Mulher Nova, Bonita e Carinhosa;Amelinha
Melô do Piripipi;Gretchen
Waiting For A Girl Like You;Foreigner
Centerfold;J. Geils Band
I Love Rock'n Roll;Joan Jett & The Blackhearts
Olhos Coloridos;Sandra Sá
Bum Bum Paticumbum Prugurundum;Quinzinho
Fera Ferida;Roberto Carlos
Empty Garden (Hey Hey Johnny);Elton John
I Can't Go For That (No Can Do It);Daryl Hall & John Oates
Tudo Com Você;Lulu Santos
Dentro do Coração (Põe Devagar);Rádio Taxi
Amor Com Café;Elba Ramalho
O Que é Que Há;Fábio Jr
Don't You Want Me;Human League
Barrados no Baile;Eduardo Dusek
Coisas de Casal;Rádio Taxi
Coisa Linda;Vinícius Cantuária
One On One;Carole King
Classic;Adrian Gurvitz
Um Auê Com Você;Baby Consuelo
Flagra;Rita Lee & Roberto de Carvalho
Tempos Modernos;Lulu Santos
Hurt;Carly Simon
Açaí;Gal Costa
Forever;Alessi
Abracadabra;Steve Miller Band
Por Debaixo dos Panos;Ney Matogrosso
Tô Que Tô;Simone
I've Never Been To Me;Charlene
O Melhor Vai Começar;Guilherme Arantes
The Old Songs;Barry Manilow
De Repente Califórnia;Lulu Santos
Pac-Man Fever;Buckner & Garcia
The Other Woman;Ray Parker Jr
Even The Nights Are Better;Air Supply
Forget Me Nots;Patrice Rushen
Here We Are;Voggue
Cry Softly;Secret Service
Elas Por Elas;Fevers
Simples Carinho;Angela Rô Rô
It's Good To Be The King;Mel Brooks
Harden My Heart;Quarterflash
Bilhete;Fafá de Belém
Only The Lonely;Motels
Rock da Cachorra;Eduardo Dusek
Tristesse;Danielle
Galopeira;Donizetti
I Believe In Love;Nikka Costa
That Girl;Stevie Wonder
Dance The Night Away;Vogue
Banho de Cheiro;Elba Ramalho
How Long;Rod Stewart
If Leaving Me Is Easy;Phil Collins
Cor-de-Rosa Choque;Rita Lee
Give To Me Baby;Rick James
Ai Que Saudade d'Ocê;Vital Farias
Piano;Bruno Carezza
Sign Of Times;Bob James
Mundo Delirante;Simone
Ousadia;Sandra Sá
Walk Away;Udo Jurgens
Coisa Acesa;Moraes Moreira
Yesterday's Songs;Neil Diamond
Vitrines;Chico Buarque
Ah! Como Eu Amei;Benito Di Paula
Can You See The Light;Brass Construction
Castles In The Air;Don McLean
Pelo Amor de Deus;Emílio Santiago
Então Tá;Cauby Peixoto
