Menina Veneno;Ritchie
Billie Jean;Michael Jackson
Coração de Estudante;Milton Nascimento
Como Uma Onda (Zen Surfismo);Lulu Santos
Brincar de Viver;Maria Bethânia
Guerreiro Menino (Um Homem Também Chora);Fagner
Every Breath You Take;The Police
Beat It;Michael Jackson
Anjo;Roupa Nova
Nosso Louco Amor;Gang 90 & As Absurdetes
I'm Never Gonna Say Goodbye;Billy Preston
Me Dê Motivo;Tim Maia
Pedacinhos;Guilherme Arantes
Uptown Girl;Billy Joel
Você é Linda;Caetano Veloso
Anunciação;Alceu Valença
Fio de Cabelo;Chitãozinho & Xororó
Advinha O Quê;Lulu Santos
Menestrel das Alagoas;Fafá de Belém
Do You Really Want To Hurt Me;Culture Club
Carimbador Maluco;Raul Seixas
A Dois Passos do Paraíso;Blitz
Flashdance... What A Feeling;Irene Cara
Don't Look Back;The Korgis
True;Spandau Ballet
Pintura Íntima;Kid Abelha & Os Abóboras Selvagens
Ai Que Saudade d'Ocê;Elba Ramalho
Vale Tudo;Sandra Sá & Tim Maia
Eu Hoje Vou Me Dar Bem;Piu-Piu de Marapendí
Banho de Cheiro;Elba Ramalho
Casanova;Ritchie
Pro Dia Nascer Feliz;Ney Matogrosso
It's Raining Again;Supertramp
Mesmo Que Seja Eu;Marina
Nathalie;Julio Iglesias
Weekend;Blitz
O Côncavo e o Convexo;Roberto Carlos
The Girl Is Mine;Michael Jackson & Paul McCartney
Pequenino Cão;Simone
Got To Be There;Chaka Khan
Sexual Healing;Marvin Gaye
Electric Avenue;Eddy Grant
Never Gonna Let You Go;Sergio Mendes
Baby, Come To Me;Patti Austin & James Ingram
Quando Te Vi;Beto Guedes
Noite do Prazer;Brilho
Total Eclipse Of The Heart;Bonnie Tyler
All Time High;Rita Coolidge
Quem Me Dera;Gilliard
Save a Prayer;Duran Duran
Barrados no Baile;Eduardo Dusek
So Many Men So Little Time;Miquel Brown
I Like Chopin;Gazebo
Maneater;Daryl Hall & John Oates
Beatriz;Milton Nascimento
Misty Blue;Dorothy Moore
Puttin' On The Ritz;Taco
Bloco do Prazer;Gal Costa
Sensual;Roupa Nova
Tonight I Celebrate My Love;Roberta Flack/Peabo Bryson
Mais Uma de Amor (Geme Geme);Blitz
Stop In The Name Of Love;Hollies
Hard To Say I'm Sorry;Chicago
No Me Vuelva A Enamorar;Julio Iglesias
Romance da Lua Lua;Amelinha
Straight From The Heart;Bryan Adams
We've Got Tonight;Kenny Rogers & Sheena Easton
Baby Jane;Rod Stewart
Cabelos Negros;Eduardo Dusek
Pelo Telefone;Ritchie
Masculino e Feminino;Pepeu Gomes
Shame On The Moon;Bob Seger & The Silver Bullet Band
Candy Girl;New Edition
Asa Morena;Zizi Possi
Everybody;Madonna
Guerra dos Sexos;Fevers
Hold Me Til The Morning Comes;Paul Anka
I Don't Wanna Dance;Eddy Grant
Ich Shaun Deach Na (Peep Peep);Spider Murphy Gang
Luz do Sol;Gal Costa
Saddle Up;David Christie
In Your Eyes;George Benson
Panela Velha;Sergio Reis
Nem Pensar;Kleiton & Kledir
My Love;Lionel Richie
Paixão;Fafá de Belém
Rio Babilônia;Jorge Ben
Tanto Amar;Ney Matogrosso
Try My Side;Chi-Lites
Voyeur;Kim Carnes
Vôo do Coração;Ritchie
It Started With A Kiss;Hot Chocolate
Descobridor dos Sete Mares;Tim Maia
Eu Amo Amar Você;Gilliard & Harmony Cats
Coisa Cristalina;Wando
Always Something There To Remind Me;Naked Eyes
Praia de Ramos;Dicró
Sanduíche de Coração;Rádio Taxi
Making Love Out Of Nothing At All;Air Suplly
Amor de Índio;Diana Pequeno
