Breathe Again;Toni Braxton
I'll Make Love To You;Boyz II Men
The Sign;Ace Of Base
Linger;Cranberries
Eu Só Penso em Você;Zezé Di Camargo & Luciano with Willie Nelson
Hero;Mariah Carey
Cartão Postal;Olodum
Essa Tal Liberdade;Só Pra Contrariar
I Swear;All-4-One
Without You;Mariah Carey
Onde Você Mora;Cidade Negra
Música de Rua;Daniela Mercury
Solidão Que Nada;Kid Abelha
All I Wanna Do;Cheryl Crow
Eu e Ela;Grupo Raça
All For Love;Bryan Adams, Rod Stewart & Sting
Bump N' Grind;R. Kelly
Menina;Netinho
Requebra;Olodum
Conto de Fadas;Negritude Jr.
Meu Jeito de Ser;Só Pra Contrariar
The Power Of Love;Celine Dion
Esqueça (Forget Him);Fábio Jr.
Now And Forever;Richard Marx
Beijo Geladinho;Negritude Jr.
Can You Feel The Love Tonight;Elton John
Said I Love You... But I Lied;Michael Bolton
Você Vai Ver;Zezé Di Camargo & Luciano
Mr. Vain;Culture Beat
I Miss You;Haddaway
Cantaloop;US3
Quando Te Encontrei;Raça Negra
Stay (I Missed You);Lisa Loeb & Nine Stories
Again;Janet Jackson
Shoop;Salt-n-Pepa
All By Myself;Sheryl Crown
I'll Stand By You;Pretenders
Pra Abalar;Banda Eva
Partners;Cássia Eller
Pensamento;Cidade Negra
Pessoa;Marina Lima
Return To Innocence;Enigma
Don't Turn Around;Ace Of Base
So Much In Love;All-4-One
Because The Night;10,000 Maniacs
Whatta Man;Salt-n-Pepa with En Vogue
Por Amor ao Ilê;Daniela Mercury
Palco;Simone Moreno
Endless Love;Luther Vandross & Mariah Carey
Beijo Partido;Milton Nascimento
Só Dá Você em Minha Vida;João Paulo & Daniel
Pro Dia Nascer Feliz;Raça Negra
The Most Beautiful Girl In The World;Prince
Tanta Solidão;Roberto Carlos
Garotos II (O Outro Lado);Leoni
Esmola;Skank
Tente Outra Vez;Zeze Di Camargo & Luciano
For Whom The Bells Tolls;Bee Gees
Caminhos de Sol;Yahoo
Febre;Lulu Santos
Muito Romântico;Maurício Mattar
Crazy;Julio Iglesias
Sim ou Não;Djavan
Circle Of Life;Elton John
Stroke You Up;Changing Faces
Mr. Jones;Counting Crows
What's My Name?;Snoop Doggy Dogg
Dor de Amor Não Tem Jeito;Leandro & Leonardo
Fantastic Voyage;Coolio
Menino do Pelô;Daniela Mercury
Loser;Beck
Another Sad Love Song;Toni Braxton
Step It Up;Stereo's MCs
Dança da Solidão;Marisa Monte & Gilberto Gil
É Proibido Fumar;Skank
I'll Remember;Madonna
Dia de Visita;João Paulo & Daniel
O Chamado;Marina Lima
Please Forgive Me;Bryan Adams
A Praieira;Chico Science & Nação Zumbi
Groove Thang;Zhané
Under The Same Sun;Scorpions
Anything;SWV
Indignação;Skank
Mmm Mmm Mmm Mmm;Crash Test Dummies
Streets Of Philadelphia;Bruce Sprinsteen
(Meet) The Flintstones;The B.C. 52's
Meu Amor Não Vá Embora;Beto Barbosa
Falsas Razões;Jorge Aragão
Cuida de Mim;João Paulo & Daniel
Se Eu Me Apaixonar;Rosana & Edmon
Dreams;Gabrielle
Always;Erasure
I'll Take You There;General Public
Love Is All Around;Wet Wet Wet
Quando Chove;Patrícia Marx
A Novidade;Gilberto Gil
My Love;Little Texas
Puteiro em João Pessoa;Raimundos
A Viagem;Roupa Nova
