O Vira;Secos & Molhados
Retalhos de Cetim;Benito Di Paula
Sangue Latino;Secos & Molhados
Skyline Pigeon;Elton John
Só Quero Um Xodó;Gilberto Gil
Killing Me Softly With His Song;Roberta Flack
Gostava Tanto de Você;Tim Maia
Ouro de Tolo;Raul Seixas
Uma Vida Só (Pare de Tomar a Pílula);Odair José
Your Song;Billy Paul
Esse Cara;Maria Bethânia
Tie A Yellow Ribbon Round The Ole Oak Tree;Tony Orlando & Dawn
My Love;Paul McCartney
Music And Me;Michael Jackson
Proposta;Roberto Carlos
Crocodile Rock;Elton John
Estrada da Vida;Milionário & José Rico
Neither One Of Us;Gladys Knight & The Pips
Eu Bebo Sim;Elizeth Cardoso
Me And Mrs. Jones;Billy Paul
Orgulho de Um Sambista;Jair Rodrigues
Daniel;Elton John
Do You Love Me;Shariff Dean
Brother Louie;Stories
Tristeza Pé no Chão;Clara Nunes
Clair;Gilbert O'Sullivan
You Are The Sunshine Of My Life;Stevie Wonder
Why Can't We Live Together;Timmy Thomas
Rosa de Hiroshima;Secos & Molhados
You're A Lady;Peter Skellern
Forever And Ever;Demis Roussos
O Homem de Nazareth;Antonio Marcos
Oh Girl;Chi-Lites
Camisa 10;Luis Américo
Also Sprach Zarathustra (2001);Deodato
A Cigana;Roberto Carlos
Do You Like Samba;Ciro Aguiar
Sorria, Sorria;Evaldo Braga
The Guitar Man;Bread
Diamond Girl;Seals & Crofts
Viagem;Marisa
O Menino da Porteira;Sérgio Reis
The Morning After;Maureen McGovern
Réu Confesso;Tim Maia
Superwoman;Stevie Wonder
Push Together;Chakachas
You're So Vain;Carly Simon
I'll Be Fine;Pete Dunaway
Let's Get It On;Marvin Gaye
Listen;Paul Bryan
Don't Say Goodbye;Chrystian
Angie;The Rolling Stones
I've Been Around;Nathan Jones
Serafim e Seus Filhos;Ruy Maurity Trio
Oh, Babe, What Would You Say?;Hurricane Smith
Meu Pai Oxalá;Toquinho & Vinícius
Masterpiece;Temptations
Painted Ladies;Ian Thomas
Listen To The Music;Doobie Brothers
Eu, Você e a Praça;Odair José
Superstition;Stevie Wonder
Rockin' Roll Baby;Stylistics
Don't Mess With Mister "T";Marvin Gaye
Monkberry Moon Delight;Exuma
Boi da Cara Preta (Eneida, Amor e Fantasia);Jair Rodrigues
E Agora José;Paulo Diniz
Cristo, Quem é Você;Odair José
Porta Aberta;Luiz Ayrão
Homem de Verdade;Djalma Dias
Drama;Maria Bethânia
Estácio Holy Estácio;Luiz Melodia
A Desconhecida;Fernando Mendes
Eu Não Sou Cachorro Não;Waldik Soriano
Soul Makossa;Manu Dibango
Summer Breeze;Seals & Crofts
Folhas Secas;Elis Regina
Al Capone;Raul Seixas
For Once In My Life;Gladys Knight & The Pips
Meu Sapato Já Furou;Clara Nunes
Cachaça Mecânica;Erasmo Carlos
Funky Stuff;Kool & The Gang
Folhas Secas;Beth Carvalho
She Made Me Cry;Pholhas
Long Train Running;Doobie Brothers
No More Troubles;Sharif Dean
It Never Rains In Southern California;Albert Hammond
Mosca na Sopa;Raul Seixas
Tá Todo Mundo Louco;Silvio Brito
He;Family Child
Metamorfose Ambulante;Raixas
Não Tenho Culpa de Ser Triste;Nelson Ned
Comportamento Geral;Gonzaguinha
Tell Me Once Again;Light Reflections
The Snake;El Chicles
Que as Crianças Cantem Livres;Taiguara
Cavalo Ferro;Fagner
Naquela Mesa;Elizeth Cardoso
Eu Disse Adeus;Maria Creuza
Volta;Gal Costa
Sing;Carpenters
