Foi Um Rio Que Passou Em Minha Vida;Paulinho da Viola
Pra Frente Brasil;Coral Joab
Jesus Cristo;Roberto Carlos
Madalena;Elis Regina
Yellow River;Christie
Bridge Over Troubled Water;Simon & Garfunkel
Azul da Cor do Mar;Tim Maia
Raindrops Keep Fallin' On My Head;B.J. Thomas
Let It Be;Beatles
BR-3;Tony Tornado & Trio Ternura
ABC;Jackson 5
Reflections Of My Life;Marmalade
Eu Te Amo Meu Brasil;Dom & Ravel
Primavera (Vai Chuva);Tim Maia
Something;Beatles
Marie Jolie;Aphrodite's Child
Menina;Paulinho Nogueira
Universo no Teu Corpo;Taiguara
Quero Voltar Pra Bahia;Paulo Diniz
Bandeira Branca;Dalva de Oliveira
Teletema;Evinha
O Amor é o Meu País;Ivan Lins
London, London;Gal Costa
Venus;Shocking Blue
Airport Love Theme;Vincent Bell
I'll Be There;Jackson 5
In The Summertime;Mungo Jerry
Coqueiro Verde;Erasmo Carlos
(They Long To Be) Close To You;Carpenters
120... 150... 200 Km Por Hora;Roberto Carlos
Ti Voglio Tanto Bene;Rossano
American Woman;The Guess Who
Midnight Cowboy;Ferrante & Teicher
Gente Humilde;Angela Maria
The Long And Winding Road;Beatles
Make It With You;Bread
Cracklin' Rosie;Neil Diamond
Get Ready;Rare Earth
Adeus Solidão;Carmen Silva
Everybody's Talkin';Nilsson
Pra Você;Silvio Cesar
Para Lennon & McCartney;Milton Nascimento
Coroné Antonio Bento;Tim Maia
Spill The Wine;Eric Burdon & War
Lay Down (Candles In The Rain);Melanie & The Edwin Hawkins Singers
Meu Laiá-Raiá;Martinho da Vila
Green-Eyed Lady;Sugarloaf
My Baby Loves Lovin';White Plains
Rainy Night In Georgia;Brook Benton
Padre Cícero;Tim Maia
Paixão de Um Homem;Waldik Soriano
Teletema;Regininha
Hotel das Estrelas;Gal Costa
The Boxer;Simon & Garfunkel
Procurando Tu;Ivon Curi
Irmãos Coragem;Jair Rodrigues
Carta de Amor;Waldik Soriano
Eu Amo Você;Tim Maia
Come Together;Beatles
Yester-me, Yester-you, Yesterday;Stevie Wonder
Vou Deitar e Rolar;Elis Regina
Je T'Aime (Moi Non Plus);Jane Birkin & Serge Gainsburg
Without Love;Tom Jones
Esse Meu Coração Sem Juízo;Moacyr Franco
Noi Ci Amiamo;Noi, Giovani
Hoje;Taiguara
Instant Karma;John Lennon
Mama Told Me (Not To Come);Three Dog Night
Eu Te Amo Meu Brasil;Os Incríveis
Que Bom Seria;Agnaldo Timóteo
Verão Vermelho;Elis Regina
Ê Baiana;Clara Nunes
Coqueiro Verde;Doris Monteiro
Procurando Tu;Jackson do Pandeiro
Ando Meio Desligado;Os Mutantes
Tá Chegando Fevereiro;Os Originais do Samba
Up Around The Bend;Creedence Clearwater Revival
Wedding Bell Blues;The 5th Dimension
Na Na Hey Hey Kiss Him Goodbye;Steam
Travelin' Band;Creedence Clearwater Revival
Assim na Terra Como no Céu;Tim Maia
Suspicious Mind;Elvis Presley
Hey There Lonely Girl;Eddie Holman
Alguém Me Disse;Joelma
Eu Também Quero Mocotó;Trio Mocotó
Take A Letter Maria;R.B. Greaves
Bamboleando;Francisco Egydio
Down On The Corner;Creedence Clearwater Revival
And When I Die;Blood, Sweat & Tears
Canção do Marinheiro (Cisne Branco);Dalva de Oliveira
Deixa Estar;MPB-4
O Cabeção;Golden Boys
I Can't Get Next To You;The Temptations
Patches;Clarence Carter
Não Quero Nem Saber;Manhoso
Rio de Lágrimas (Rio de Piracicaba);Tião Carreiro & Pardinho
Leaving On A Jet Plane;Peter, Paul & Mary
Little Woman;Bobby Sherman
Baby, I'm For Real;The Originals
Which Way You Goin' Billy?;The Poppy Family
