Quero Que Vá Tudo Pro Inferno;Roberto Carlos
Yesterday;Beatles
A Banda;Nara Leão
Capri C'est Fini;Hervé Villard
Esqueça;Roberto Carlos
Io Che Non Vivo Senza Te;Pino Donaggio
Michelle;Beatles
Meu Bem;Ronnie Von
Disparada;Jair Rodrigues
A Volta;Os Vips
Strangers In The Night;Frank Sinatra
Aline;Christophe
The More I See You;Chris Montez
Coruja;Deny & Dino
Um Grande Amor;Jerry Adriani
A Praia;Agnaldo Rayol
Whipped Cream;Herb Alpert & The Tijuana Brass
(I Can't Get No) Satisfaction;Rolling Stones
Day Tripper;Beatles
Pobre Menina;Leno & Lilian
California Dreamin';The Mamas & The Papas
Lara's Theme From Dr. Zhivago;The Jordans
Não Diga Nada;Joelma
Eu Te Darei Bem Mais;Moacyr Franco
É Papo Firme;Roberto Carlos
Tristeza;Jair Rodrigues
Ternura;Wanderléa
Yesterday;Matt Monro
Io Te Darò Di Piú;Ornella Vanoni
Meu Primeiro Amor;Renato & Seus Blue Caps
Guarânia da Saudade;Carlos José
Mamãe Passou Açucar Em Mim;Wilson Simonal
Giramundo;Pery Ribeiro
O Bom;Eduardo Araújo
Monday Monday;The Mamas & The Papas
The Sounds Of Silence;Simon & Garfunkel
N'avoue Jamais;Guy Martell
O Muro de Berlim;The Bells
Il Mondo;Jimmy Fontana
Cinderela;Angela Maria
Mamãe;Agnaldo Timóteo
La Boheme;Charles Aznavour
Devolva-me;Leno & Lilian
Upa Neguinho;Elis Regina
Wolly Bully;Sam The Sham & The Pharaohs
Bang Bang (My Baby Shot Me Down);Sonny & Cher
Aline;Agnaldo Timóteo
Mexericos da Candinha;Roberto Carlos
Noite dos Mascarados;Chico Buarque, Odete Lara & MPB-4
The Shadow Of Your Smile;Tony Bennett
Apêlo;Elizeth Cardoso
Theme For Young Lovers;The Jet Blacks
As Tears Go By;Rolling Stones
Brigas;Altemar Dutra
Canto de Ossanha;Elis Regina
Ninguém Poderá Julgar-me;Jerry Adriani
Eu Te Darei o Céu;Roberto Carlos
Tema de Lara;The Jordans
Juanita Banana;The Peels
Mágoa;Golden Boys
Il Silenzio;Nino Rosso
Carango;Wilson Simonal
Anda Luzia;Maria Bethânia
Somewhere My Love;Ray Conniff
Girl;The Beatles
Gina;Wayne Fontana
Hang On Sloopy;The McCoys
Juramento de Playboy;Carlos Gonzaga
É Tão Fácil Dizer Não Fique Triste;Cidinha Santos
Forget Him;Bobby Rydell
I Only Want To Be With You;Dusty Springfield
You've Got To Hide Your Love Away;Ronnie Von
Alguém na Multidão;Golden Boys
Deus Te Acompanhe;WAnderley Cardoso
Eu Te Amo;José Ricardo
Vem Chegando a Madrugada;Jair Rodrigues
Nossa Canção;Roberto Carlos
Samba na Palma da Mão;Luiz Carlos
Maringá;Eduardo Araújo
Eterna Paixão;José Ricardo
Les Cornichons;Nino Ferrer
Michelle;Golden Boys
Não Quero Ver Você Triste;Roberto Carlos
Fim de Sonho;Marcos Roberto
Não Me Deixe Só;Denise Barreto
I Am A Rock;Simon & Garfunkel
A Rita;Chico Buarque
Eu Te Agradeço;Silvio Cesar
Dia das Rosas;Maysa
Bang Bang (My Baby Shot Me Down);Maritza Fabiani
Suburbana;Carlos José
Like A Rolling Stone;Bob Dylan
Olê Olá;Chico Buarque
Winchester Cathedral;New Vaudeville Band
Cabelos Longos, Idéias Curtas;Brazilian Bitles
Paperback Writer;The Beatles
These Boots Are Made For Walkin';Nancy Sinatra
Porta-Estandarte;Geraldo Vandré
Dia das Rosas;Sônia Delfino
Vai Ser Bom;Fevers
