Balancê;Gal Costa
Another Brick In The Wall;Pink Floyd
Crazy Little Thing Called Love;Queen
Momentos;Joanna
Menino do Rio;Baby Consuelo
Toada (Na Direção do Vento);Boca Livre
Lady;Kenny Rogers
Lost In Love;Air Supply
Meu Bem Querer;Djavan
Alô Alô Marciano;Elis Regina
Grito de Alerta;Maria Bethânia
Don't Stop Till You Get Enough;Michael Jackson
Sailing;Christopher Cross
Admirável Gado Novo;Zé Ramalho
20 e Poucos Anos;Fábio Jr.
Xanadu;Olivia Newton-John & Electric Light Orchestra
Foi Deus Que Fez Você;Amelinha
Little Jeannie;Elton John
Amante à Moda Antiga;Roberto Carlos
Mania de Você;Rita Lee 
Magic;Olivia Newton-John
Coração Bobo;Alceu Valença
All Out Of Love;Air Supply
Cruisin';Smokey Robinson
Demônio Colorido;Sandra Sá
Do That To Me One More Time;The Captain & Tennille
Cheiro de Mato;Fátima Guedes
Another One Bites The Dust;Queen
Noturno;Fagner
The Winner Takes It All;Abba
Bandolins;Oswaldo Montenegro
Canção da América;Milton Nascimento
With You I'm Born Again;Billy Preston & Syreeta
Feminina;Joyce
Him;Rupert Holmes
Babe;Styx
Upside Down;Diana Ross
Essa Tal Criatura;Leci Brandão
Please Don't Go;KC & The Sunshine Band
Sol de Primavera;Beto Guedes
Call Me;Blondie
Chega Mais;Rita Lee
Só Nos Resta Viver;Angela Rô Rô
Fame;Irene Cara
Shining Star;The Manhattans
Nosso Estranho Amor;Marina & Caetano Veloso
Special Lady;Ray, Goodman & Brown
After You;Michael Johnson
Do Right;Paul Davis
Meu Amigo, Meu Herói;Zizi Possi
Lá Vem o Brasil Descendo a Ladeira;Moraes Moreira
Into The Night;Benny Mardones
Just Like You Do;Carly Simon
Menino Sem Juízo;Alcione
Eu e a Brisa;Baby Consuelo
More Than I Can Say;Leo Sayer
Noites Cariocas;Gal Costa
Ponto de Interrogação;Gonzaguinha
Gonna Get Along Without You Now;Viola Wills
Give Me The Night;George Benson
Lead Me On;Maxine Nightingale
I Never Fall In Love;Davitt Sigerson
Desesperar Jamais;Simone
You And I;Mireille Mathieu & Paul Anka
Quem Tem a Viola (Cecília);Boca Livre
Quero Colo;Fábio Jr.
Semente do Amor;A Cor do Som
Shine On;L.T.D.
I'm So Glad That I'm A Woman;Love Unlimited
Ships;Barry Manilow
Agonia;Oswaldo Montenegro
Survive;Jimmy Buffett
Bola de Meia, Bola de Gude;14 Bis
Three Times In Love;Tommy James
Wave;João Gilberto
Canção de Verão;Roupa Nova
Modern Girl;Sheena Easton
More Love;Kim Carnes
Caminhando (Pra Não Dizer Que Não Falei de Flores);Simone
Love I Need;Jimmy Cliff
Aroma;Lúcia Turnbull
Planeta Sonho;14 Bis
Cais;Milton Nascimento
Escravo da Alegria;Toquinho & Vinícius
First Be A Woman;Leonore O'Malley
Clareana;Joyce
Fracasso;Gilliard
Quero Quero;Cláudio Nucci
Novo Tempo;Ivan Lins
Lembranças;Kátia
Meninas do Brasil;Moraes Moreira
Never New Love Like This Before;Stephanie Mills
Rua Ramalhete;Tavito
Faltando Um Pedaço;Djavan
Se Eu Quiser Falar Com Deus;Elis Regina
Doce de Pimenta;Olivia
No Night So Long;Dionne Warwick
Nova Manhã;14-Bis
The Second Time Around;Shalamar
A Massa;Raimundo Sodré
