position;artist;music;gender;number_of_unique_words;number_of_chords;views;lyrics_link;cipher_link
1;cheia de manias;raça negra;Pagode;56;2;1636436;https://www.letras.mus.br/raca-negra/73083/;http://www.cifraclub.com.br/raca-negra/cheia-de-manias/
2;vai malandra;anitta;Pop;139;8;771623;https://www.letras.mus.br/anitta/vai-malandra/;http://www.cifraclub.com.br/anitta/vai-malandra/
